NAME,age.group,pop,pop.pct
"Avalon city, California",age.0.17,1040,0.2763752325272389
"Avalon city, California",age.18.64,2206,0.5862343874568163
"Avalon city, California",age.65.99,517,0.13739038001594472
"Woodland city, California",age.0.17,14428,0.24436013820201882
"Woodland city, California",age.18.64,36724,0.6219768308380191
"Woodland city, California",age.65.99,7892,0.13366303095996207
"Acton CDP, California",age.0.17,1267,0.17633959638135002
"Acton CDP, California",age.18.64,4692,0.653027139874739
"Acton CDP, California",age.65.99,1226,0.1706332637439109
"Arcadia city, California",age.0.17,12713,0.21841015685398663
"Arcadia city, California",age.18.64,34808,0.5980036765337502
"Arcadia city, California",age.65.99,10686,0.18358616661226312
"Bell city, California",age.0.17,10232,0.28573822223463374
"Bell city, California",age.18.64,22598,0.6310704012957636
"Bell city, California",age.65.99,2979,0.08319137646960262
"Carson city, California",age.0.17,19353,0.20918317714582185
"Carson city, California",age.18.64,57953,0.6264037960591027
"Carson city, California",age.65.99,15211,0.1644130267950755
"Compton city, California",age.0.17,28532,0.29323439635769416
"Compton city, California",age.18.64,60180,0.6184931295670137
"Compton city, California",age.65.99,8589,0.08827247407529214
"Diamond Bar city, California",age.0.17,11440,0.20271467555020023
"Diamond Bar city, California",age.18.64,36175,0.6410142821703229
"Diamond Bar city, California",age.65.99,8819,0.1562710422794769
"East San Gabriel CDP, California",age.0.17,3438,0.21579211649510419
"East San Gabriel CDP, California",age.18.64,9830,0.6169972382626161
"East San Gabriel CDP, California",age.65.99,2664,0.1672106452422797
"Westminster city, California",age.0.17,17854,0.19530284301606923
"Westminster city, California",age.18.64,57382,0.6276950676570003
"Westminster city, California",age.65.99,16181,0.17700208932693043
"Marysville city, California",age.0.17,2930,0.2385604950333822
"Marysville city, California",age.18.64,7939,0.646393095587038
"Marysville city, California",age.65.99,1413,0.11504640937957987
"Plumas Lake CDP, California",age.0.17,2555,0.3468168861137505
"Plumas Lake CDP, California",age.18.64,4280,0.5809691869146193
"Plumas Lake CDP, California",age.65.99,532,0.07221392697163025
"Ponderosa CDP, California",age.0.17,0,NaN
"Ponderosa CDP, California",age.18.64,0,NaN
"Ponderosa CDP, California",age.65.99,0,NaN
"Posey CDP, California",age.0.17,0,NaN
"Posey CDP, California",age.18.64,0,NaN
"Posey CDP, California",age.65.99,0,NaN
"Poso Park CDP, California",age.0.17,0,0
"Poso Park CDP, California",age.18.64,0,0
"Poso Park CDP, California",age.65.99,2,1
"Potrero CDP, California",age.0.17,187,0.2992
"Potrero CDP, California",age.18.64,398,0.6368
"Potrero CDP, California",age.65.99,40,0.064
"Potter Valley CDP, California",age.0.17,52,0.11899313501144165
"Potter Valley CDP, California",age.18.64,299,0.6842105263157895
"Potter Valley CDP, California",age.65.99,86,0.19679633867276888
"Princeton CDP, California",age.0.17,30,0.10101010101010101
"Princeton CDP, California",age.18.64,192,0.6464646464646465
"Princeton CDP, California",age.65.99,75,0.25252525252525254
"Proberta CDP, California",age.0.17,41,0.24848484848484848
"Proberta CDP, California",age.18.64,93,0.5636363636363636
"Proberta CDP, California",age.65.99,31,0.18787878787878787
"Rackerby CDP, California",age.0.17,29,0.15343915343915343
"Rackerby CDP, California",age.18.64,107,0.5661375661375662
"Rackerby CDP, California",age.65.99,53,0.2804232804232804
"Red Corral CDP, California",age.0.17,328,0.1699481865284974
"Red Corral CDP, California",age.18.64,1251,0.6481865284974093
