GEOID,NAME,variable,estimate,moe
0600135,"Acalanes Ridge CDP, California",B01001_001,889,298
0600156,"Acampo CDP, California",B01001_001,294,244
0600212,"Acton CDP, California",B01001_001,7185,512
0600296,"Adelanto city, California",B01001_001,33416,52
0600310,"Adin CDP, California",B01001_001,201,95
0600394,"Agoura Hills city, California",B01001_001,20636,28
0600450,"Agua Dulce CDP, California",B01001_001,3728,605
0600464,"Aguanga CDP, California",B01001_001,835,356
0600478,"Ahwahnee CDP, California",B01001_001,2461,592
0600535,"Airport CDP, California",B01001_001,1222,386
0600562,"Alameda city, California",B01001_001,78462,44
0600618,"Alamo CDP, California",B01001_001,15317,696
0600674,"Albany city, California",B01001_001,19758,59
0600716,"Albion CDP, California",B01001_001,302,117
0600786,"Alderpoint CDP, California",B01001_001,157,125
0600884,"Alhambra city, California",B01001_001,84974,65
0600898,"Alhambra Valley CDP, California",B01001_001,739,251
0600947,"Aliso Viejo city, California",B01001_001,50925,36
0600982,"Alleghany CDP, California",B01001_001,30,45
0600996,"Allendale CDP, California",B01001_001,1362,308
0601010,"Allensworth CDP, California",B01001_001,527,125
0601094,"Almanor CDP, California",B01001_001,0,12
0601150,"Alondra Park CDP, California",B01001_001,8097,914
0601164,"Alpaugh CDP, California",B01001_001,1074,200
0601192,"Alpine CDP, California",B01001_001,15233,862
0601228,"Alpine Village CDP, California",B01001_001,155,62
0601276,"Alta CDP, California",B01001_001,485,124
0601290,"Altadena CDP, California",B01001_001,45146,1393
0601360,"Alta Sierra CDP, California",B01001_001,7207,346
0601416,"Alto CDP, California",B01001_001,765,253
0601444,"Alturas city, California",B01001_001,2577,13
0601458,"Alum Rock CDP, California",B01001_001,11791,961
0601514,"Amador City city, California",B01001_001,167,82
0601640,"American Canyon city, California",B01001_001,20306,45
0601651,"Amesti CDP, California",B01001_001,2832,315
0602000,"Anaheim city, California",B01001_001,349668,82
0602028,"Anchor Bay CDP, California",B01001_001,314,136
0602042,"Anderson city, California",B01001_001,10265,34
0602112,"Angels city, California",B01001_001,3811,31
0602168,"Angwin CDP, California",B01001_001,3424,315
0602210,"Antelope CDP, California",B01001_001,47326,1255
0602252,"Antioch city, California",B01001_001,110730,129
0602294,"Anza CDP, California",B01001_001,3151,990
0602364,"Apple Valley town, California",B01001_001,72359,44
0602378,"Aptos CDP, California",B01001_001,5797,613
0602382,"Aptos Hills-Larkin Valley CDP, California",B01001_001,1993,418
0602420,"Arbuckle CDP, California",B01001_001,3636,419
0602462,"Arcadia city, California",B01001_001,58207,48
0602476,"Arcata city, California",B01001_001,18050,48
0602553,"Arden-Arcade CDP, California",B01001_001,100548,1907
0602700,"Armona CDP, California",B01001_001,3795,630
0602770,"Arnold CDP, California",B01001_001,2605,442
0602812,"Aromas CDP, California",B01001_001,2553,472
0602868,"Arroyo Grande city, California",B01001_001,18039,44
0602896,"Artesia city, California",B01001_001,16817,40
0602910,"Artois CDP, California",B01001_001,292,129
0602924,"Arvin city, California",B01001_001,21005,25
0602980,"Ashland CDP, California",B01001_001,23635,1056
0603026,"Aspen Springs CDP, California",B01001_001,67,80
0603064,"Atascadero city, California",B01001_001,30037,41
0603092,"Atherton town, California",B01001_001,7185,24
0603162,"Atwater city, California",B01001_001,29197,31
0603190,"Auberry CDP, California",B01001_001,2476,400
0603204,"Auburn city, California",B01001_001,13946,42
0603205,"Auburn Lake Trails CDP, California",B01001_001,3499,479
0603209,"August CDP, California",B01001_001,8774,1220
0603274,"Avalon city, California",B01001_001,3763,32
0603302,"Avenal city, California",B01001_001,12923,25
0603316,"Avery CDP, California",B01001_001,559,203
0603330,"Avila Beach CDP, California",B01001_001,1273,285
0603344,"Avocado Heights CDP, California",B01001_001,15903,795
0603386,"Azusa city, California",B01001_001,49544,55
0603512,"Baker CDP, California",B01001_001,607,161
0603526,"Bakersfield city, California",B01001_001,375699,120
0603666,"Baldwin Park city, California",B01001_001,76222,70
0603694,"Ballard CDP, California",B01001_001,473,193
0603708,"Ballico CDP, California",B01001_001,401,131
0603792,"Bangor CDP, California",B01001_001,372,143
0603820,"Banning city, California",B01001_001,30942,44
0604030,"Barstow city, California",B01001_001,23812,35
0604198,"Bass Lake CDP, California",B01001_001,500,240
0604415,"Bay Point CDP, California",B01001_001,25165,811
0604470,"Bayview CDP (Contra Costa County), California",B01001_001,1954,419
0604478,"Bayview CDP (Humboldt County), California",B01001_001,2617,320
0604576,"Beale AFB CDP, California",B01001_001,1039,176
0604632,"Bear Creek CDP, California",B01001_001,157,101
0604716,"Bear Valley CDP (Alpine County), California",B01001_001,58,42
0604730,"Bear Valley CDP (Mariposa County), California",B01001_001,203,140
0604734,"Bear Valley Springs CDP, California",B01001_001,5442,512
0604758,"Beaumont city, California",B01001_001,45403,103
0604772,"Beckwourth CDP, California",B01001_001,214,132
0604856,"Belden CDP, California",B01001_001,0,12
0604870,"Bell city, California",B01001_001,35809,29
0604926,"Bella Vista CDP, California",B01001_001,2614,292
0604938,"Bell Canyon CDP, California",B01001_001,2391,308
0604982,"Bellflower city, California",B01001_001,77529,60
0604996,"Bell Gardens city, California",B01001_001,42641,26
0605108,"Belmont city, California",B01001_001,27110,62
0605164,"Belvedere city, California",B01001_001,2098,153
0605262,"Benbow CDP, California",B01001_001,161,124
0605276,"Bend CDP, California",B01001_001,457,163
0605290,"Benicia city, California",B01001_001,28088,42
0605332,"Ben Lomond CDP, California",B01001_001,7071,575
0605346,"Benton CDP, California",B01001_001,313,120
0606000,"Berkeley city, California",B01001_001,120926,46
0606028,"Bermuda Dunes CDP, California",B01001_001,6817,726
0606070,"Berry Creek CDP, California",B01001_001,1241,229
0606150,"Bertsch-Oceanview CDP, California",B01001_001,2042,318
0606210,"Bethel Island CDP, California",B01001_001,2010,443
0606308,"Beverly Hills city, California",B01001_001,34362,35
0606336,"Bieber CDP, California",B01001_001,178,106
0606406,"Big Bear City CDP, California",B01001_001,13312,1027
0606434,"Big Bear Lake city, California",B01001_001,5229,22
0606475,"Big Bend CDP, California",B01001_001,96,46
0606518,"Big Creek CDP, California",B01001_001,188,82
0606560,"Biggs city, California",B01001_001,2323,365
0606567,"Big Lagoon CDP, California",B01001_001,118,53
0606616,"Big Pine CDP, California",B01001_001,1568,169
0606635,"Big River CDP, California",B01001_001,1145,139
0606728,"Biola CDP, California",B01001_001,1451,298
0606798,"Bishop city, California",B01001_001,3765,26
0606928,"Blackhawk CDP, California",B01001_001,9860,681
0606935,"Blacklake CDP, California",B01001_001,892,282
0606982,"Black Point-Green Point CDP, California",B01001_001,1655,242
0606994,"Blairsden CDP, California",B01001_001,25,25
0607036,"Bloomfield CDP, California",B01001_001,387,158
0607064,"Bloomington CDP, California",B01001_001,21783,1636
0607162,"Blue Lake city, California",B01001_001,981,227
0607172,"Bluewater CDP, California",B01001_001,161,62
0607218,"Blythe city, California",B01001_001,19581,33
0607246,"Bodega CDP, California",B01001_001,473,187
0607260,"Bodega Bay CDP, California",B01001_001,733,252
0607274,"Bodfish CDP, California",B01001_001,1384,360
0607316,"Bolinas CDP, California",B01001_001,1077,233
0607372,"Bombay Beach CDP, California",B01001_001,415,143
0607379,"Bonadelle Ranchos-Madera Ranchos CDP, California",B01001_001,8971,695
0607414,"Bonita CDP, California",B01001_001,13324,1365
0607470,"Bonny Doon CDP, California",B01001_001,3009,348
0607498,"Bonsall CDP, California",B01001_001,4464,330
0607512,"Boonville CDP, California",B01001_001,852,196
0607525,"Bootjack CDP, California",B01001_001,768,348
0607568,"Boron CDP, California",B01001_001,2312,317
0607578,"Boronda CDP, California",B01001_001,1066,521
0607596,"Borrego Springs CDP, California",B01001_001,2252,605
0607624,"Bostonia CDP, California",B01001_001,17530,1365
0607652,"Boulder Creek CDP, California",B01001_001,4712,668
0607694,"Boulevard CDP, California",B01001_001,445,251
0607750,"Bowles CDP, California",B01001_001,194,67
0607848,"Boyes Hot Springs CDP, California",B01001_001,7863,956
0607946,"Bradbury city, California",B01001_001,916,122
0607974,"Bradley CDP, California",B01001_001,107,57
0608058,"Brawley city, California",B01001_001,26009,59
0608100,"Brea city, California",B01001_001,42330,53
0608142,"Brentwood city, California",B01001_001,60446,116
0608172,"Bret Harte CDP, California",B01001_001,5319,608
0608240,"Bridgeport CDP, California",B01001_001,464,261
0608310,"Brisbane city, California",B01001_001,4692,21
0608338,"Broadmoor CDP, California",B01001_001,5286,607
0608478,"Brookdale CDP, California",B01001_001,2345,684
0608530,"Brooktrails CDP, California",B01001_001,3709,766
0608680,"Buckhorn CDP, California",B01001_001,2246,380
0608716,"Buck Meadows CDP, California",B01001_001,51,56
0608744,"Bucks Lake CDP, California",B01001_001,15,23
0608758,"Buellton city, California",B01001_001,5092,21
0608786,"Buena Park city, California",B01001_001,82781,64
0608828,"Buena Vista CDP, California",B01001_001,526,218
0608954,"Burbank city, California",B01001_001,104275,50
0608968,"Burbank CDP, California",B01001_001,5252,401
0609066,"Burlingame city, California",B01001_001,30459,43
0609122,"Burney CDP, California",B01001_001,3807,441
0609150,"Burnt Ranch CDP, California",B01001_001,338,108
0609310,"Butte Creek Canyon CDP, California",B01001_001,931,273
0609318,"Butte Meadows CDP, California",B01001_001,53,86
0609324,"Butte Valley CDP, California",B01001_001,510,186
0609332,"Buttonwillow CDP, California",B01001_001,1591,333
0609346,"Byron CDP, California",B01001_001,1348,233
0609353,"Bystrom CDP, California",B01001_001,4099,472
0609360,"Cabazon CDP, California",B01001_001,3367,711
0609598,"Calabasas city, California",B01001_001,24077,39
0609710,"Calexico city, California",B01001_001,39934,23
0609780,"California City city, California",B01001_001,13646,28
0609822,"California Hot Springs CDP, California",B01001_001,36,24
0609834,"California Pines CDP, California",B01001_001,488,233
0609864,"Calimesa city, California",B01001_001,8651,38
0609878,"Calipatria city, California",B01001_001,7458,26
0609892,"Calistoga city, California",B01001_001,5285,21
0609948,"Callender CDP, California",B01001_001,1583,483
0609990,"Calpella CDP, California",B01001_001,562,269
0610004,"Calpine CDP, California",B01001_001,216,108
0610032,"Calwa CDP, California",B01001_001,1974,714
0610042,"Camanche North Shore CDP, California",B01001_001,1029,303
0610044,"Camanche Village CDP, California",B01001_001,620,215
0610046,"Camarillo city, California",B01001_001,67543,60
0610074,"Cambria CDP, California",B01001_001,5725,346
0610088,"Cambrian Park CDP, California",B01001_001,3094,398
0610256,"Cameron Park CDP, California",B01001_001,19902,920
0610270,"Camino CDP, California",B01001_001,1799,324
0610301,"Camino Tassajara CDP, California",B01001_001,3798,574
0610345,"Campbell city, California",B01001_001,42470,60
0610494,"Camp Nelson CDP, California",B01001_001,0,12
0610508,"Campo CDP, California",B01001_001,3482,802
0610559,"Camp Pendleton North CDP, California",B01001_001,7903,1317
0610561,"Camp Pendleton South CDP, California",B01001_001,11459,1954
0610676,"Camptonville CDP, California",B01001_001,162,69
0610732,"Canby CDP, California",B01001_001,497,243
0610816,"Cantua Creek CDP, California",B01001_001,273,182
0610914,"Canyondam CDP, California",B01001_001,66,53
0610928,"Canyon Lake city, California",B01001_001,11106,32
0611040,"Capitola city, California",B01001_001,10135,20
0611166,"Caribou CDP, California",B01001_001,0,12
0611194,"Carlsbad city, California",B01001_001,113670,74
0611250,"Carmel-by-the-Sea city, California",B01001_001,3855,18
0611324,"Carmel Valley Village CDP, California",B01001_001,4293,668
0611376,"Carmet CDP, California",B01001_001,0,12
0611390,"Carmichael CDP, California",B01001_001,64785,1277
0611418,"Carnelian Bay CDP, California",B01001_001,463,163
0611446,"Carpinteria city, California",B01001_001,13550,39
0611481,"Carrick CDP, California",B01001_001,47,49
0611530,"Carson city, California",B01001_001,92517,65
0611600,"Cartago CDP, California",B01001_001,7,10
0611614,"Caruthers CDP, California",B01001_001,2773,521
0611656,"Casa Conejo CDP, California",B01001_001,3366,356
0611691,"Casa de Oro-Mount Helix CDP, California",B01001_001,19635,1149
0611754,"Casmalia CDP, California",B01001_001,111,77
0611768,"Caspar CDP, California",B01001_001,812,416
0611782,"Cassel CDP, California",B01001_001,176,146
0611796,"Castaic CDP, California",B01001_001,18921,632
0611915,"Castle Hill CDP, California",B01001_001,1145,320
0611964,"Castro Valley CDP, California",B01001_001,63288,1232
0611978,"Castroville CDP, California",B01001_001,6686,617
0612048,"Cathedral City city, California",B01001_001,54037,51
0612062,"Catheys Valley CDP, California",B01001_001,794,213
0612132,"Cayucos CDP, California",B01001_001,2692,361
0612146,"Cazadero CDP, California",B01001_001,288,137
0612300,"Cedar Ridge CDP, California",B01001_001,1037,210
0612314,"Cedar Slope CDP, California",B01001_001,0,12
0612328,"Cedarville CDP, California",B01001_001,360,122
0612412,"Centerville CDP, California",B01001_001,366,190
0612524,"Ceres city, California",B01001_001,47975,39
0612552,"Cerritos city, California",B01001_001,50172,46
0612594,"Chalfant CDP, California",B01001_001,999,395
0612612,"Challenge-Brownsville CDP, California",B01001_001,864,372
0612669,"Channel Islands Beach CDP, California",B01001_001,2864,536
0612734,"Charter Oak CDP, California",B01001_001,9760,835
0612818,"Cherokee CDP, California",B01001_001,139,94
0612860,"Cherokee Strip CDP, California",B01001_001,191,118
0612902,"Cherryland CDP, California",B01001_001,16387,1124
0612916,"Cherry Valley CDP, California",B01001_001,7755,698
0612930,"Chester CDP, California",B01001_001,2116,328
0613014,"Chico city, California",B01001_001,91998,104
0613077,"Chilcoot-Vinton CDP, California",B01001_001,147,106
0613157,"China Lake Acres CDP, California",B01001_001,1947,669
0613182,"Chinese Camp CDP, California",B01001_001,206,121
0613210,"Chino city, California",B01001_001,87735,131
0613214,"Chino Hills city, California",B01001_001,79298,127
0613294,"Chowchilla city, California",B01001_001,18533,41
0613364,"Chualar CDP, California",B01001_001,1442,385
0613392,"Chula Vista city, California",B01001_001,266468,77
0613560,"Citrus CDP, California",B01001_001,10771,873
0613588,"Citrus Heights city, California",B01001_001,87061,106
0613756,"Claremont city, California",B01001_001,36025,74
0613784,"Clarksburg CDP, California",B01001_001,442,267
0613854,"Clay CDP, California",B01001_001,1083,195
0613882,"Clayton city, California",B01001_001,11967,25
0613910,"Clear Creek CDP, California",B01001_001,226,155
0613945,"Clearlake city, California",B01001_001,15323,28
0613966,"Clearlake Oaks CDP, California",B01001_001,2279,428
0613985,"Clearlake Riviera CDP, California",B01001_001,3933,686
0614008,"Cleone CDP, California",B01001_001,804,268
0614106,"Clio CDP, California",B01001_001,65,65
0614148,"Clipper Mills CDP, California",B01001_001,319,240
0614190,"Cloverdale city, California",B01001_001,8798,26
0614218,"Clovis city, California",B01001_001,106666,80
0614232,"Clyde CDP, California",B01001_001,676,199
0614260,"Coachella city, California",B01001_001,44849,39
0614274,"Coalinga city, California",B01001_001,16538,34
0614288,"Coarsegold CDP, California",B01001_001,1643,521
0614302,"Cobb CDP, California",B01001_001,920,352
0614406,"Coffee Creek CDP, California",B01001_001,186,73
0614442,"Cohasset CDP, California",B01001_001,990,361
0614450,"Cold Springs CDP (El Dorado County), California",B01001_001,675,243
