zcta,white,asian,black,latino,other,total,pct_white,pct_asian,pct_black,pct_latino,pct_other
00601,52,0,0,17184,6,17242,0.0030158914279085954,0,0,0.9966361210996404,3.4798747245099175e-4
00602,2102,0,20,35925,395,38442,0.054679777326882055,0,5.202642942614849e-4,0.9345247385671921,0.010275219811664325
00603,698,141,161,47551,263,48814,0.014299176465768018,0.0028885155897898146,0.0032982341131642563,0.974126275248904,0.005387798582373909
00606,10,0,0,6427,0,6437,0.0015535187199005747,0,0,0.9984464812800994,0
00610,874,0,0,26043,156,27073,0.03228308646991467,0,0,0.9619547150297344,0.005762198500350903
00612,318,0,25,59910,50,60303,0.005273369484105268,0,4.145730726497852e-4,0.9934829112979454,8.291461452995705e-4
00616,53,0,0,10712,0,10765,0.004923362749651649,0,0,0.9950766372503483,0
00617,37,0,0,23924,13,23974,0.0015433386168349046,0,0,0.9979144072745474,5.422541086176692e-4
00622,0,0,0,6578,0,6578,0,0,0,1,0
00623,66,0,0,42361,0,42427,0.00155561317085818,0,0,0.9984443868291418,0
00624,43,0,0,22642,22,22707,0.0018936891707403004,0,0,0.9971374466023694,9.688642268903862e-4
00627,200,0,20,32002,0,32222,0.00620693935820247,0,6.20693935820247e-4,0.9931723667059773,0
00631,0,0,0,1568,0,1568,0,0,0,1,0
00637,36,0,4,22935,0,22975,0.0015669205658324266,0,1.7410228509249183e-4,0.9982589771490751,0
00638,171,0,0,16530,0,16701,0.010238907849829351,0,0,0.9897610921501706,0
00641,145,0,25,27401,0,27571,0.005259149105944652,0,9.067498458525262e-4,0.9938341010482028,0
00646,545,35,0,36914,0,37494,0.014535659038779538,9.334826905638236e-4,0,0.9845308582706567,0
00647,0,0,0,5643,0,5643,0,0,0,1,0
00650,157,0,0,14603,0,14760,0.010636856368563685,0,0,0.9893631436314363,0
00652,19,0,0,3678,0,3697,0.005139302136867731,0,0,0.9948606978631322,0
00653,142,0,0,10975,23,11140,0.01274685816876122,0,0,0.9851885098743267,0.0020646319569120287
00656,80,12,0,18887,0,18979,0.004215185204699931,6.322777807049897e-4,0,0.995152537014595,0
00659,44,0,0,40346,0,40390,0.0010893785590492696,0,0,0.9989106214409508,0
00660,14,0,18,16148,0,16180,8.65265760197775e-4,0,0.0011124845488257107,0.9980222496909765,0
00662,394,0,98,39695,103,40290,0.009779101514023331,0,0.002432365351203773,0.9852320675105485,0.002556465624224373
00664,57,0,0,14934,0,14991,0.0038022813688212928,0,0,0.9961977186311787,0
00667,42,0,0,23510,38,23590,0.0017804154302670622,0,0,0.996608732513777,0.0016108520559559136
00669,70,0,8,25534,41,25653,0.002728725685105056,0,3.118543640120064e-4,0.9953611663353215,0.0015982536155615327
00670,45,0,0,8453,0,8498,0.005295363614968228,0,0,0.9947046363850318,0
00674,400,0,107,39235,117,39859,0.010035374695802705,0,0.0026844627311272233,0.9843448154745478,0.002935347098522291
00676,139,29,12,36687,128,36995,0.0037572644952020545,7.838897148263279e-4,3.2436815785917013e-4,0.9916745506149479,0.003459927017164482
00677,1316,5,23,12705,262,14311,0.0919572356928237,3.4938159457759767e-4,0.0016071553350569493,0.8877786318216756,0.018307595555866116
00678,167,0,89,25815,20,26091,0.00640067456210954,0,0.0034111379402859223,0.98942163964585494,7.665478517496454e-4
00680,137,8,67,46179,4,46395,0.002952904407802565,1.7243237417825197e-4,0.0014441211337428601,0.9953443258971872,8.621618708912599e-5
00682,282,25,0,31965,87,32359,0.008714731604808554,7.725825890787725e-4,0,0.9878240983961185,0.0026885874099941286
00683,173,0,15,30213,23,30424,0.005686300289245333,0,4.930318169865895e-4,0.9930646857743887,7.559821193794373e-4
00685,642,13,0,37202,182,38039,0.01687741528431347,3.417545151029207e-4,0,0.9779962669891428,0.0047845632114408895
00687,99,0,18,31157,46,31320,0.003160919540229885,0,5.747126436781609e-4,0.9947956577266922,0.0014687100893997446
00688,76,9,0,12117,0,12202,0.0062284871332568435,7.375840026225209e-4,0,0.9930339288641207,0
00690,45,0,0,5307,0,5352,0.008408071748878924,0,0,0.9915919282511211,0
00692,366,11,66,35248,149,35840,0.010212053571428572,3.0691964285714285e-4,0.001841517857142857,0.9834821428571429,0.004157366071428571
00693,1448,0,52,52887,41,54428,0.026603953847284485,0,9.553906077754097e-4,0.9716873667965018,7.532887484383038e-4
00694,0,0,0,69,0,69,0,0,0,1,0
00698,48,5,16,36217,26,36312,0.0013218770654329147,1.3769552764926195e-4,4.406256884776382e-4,0.9973837849746641,7.160167437761622e-4
00703,254,0,0,26066,0,26320,0.009650455927051672,0,0,0.9903495440729483,0
00704,9,15,0,8247,3,8274,0.0010877447425670776,0.0018129079042784628,0,0.9967367657722987,3.6258158085569254e-4
00705,42,21,9,23082,22,23176,0.001812219537452537,9.061097687262685e-4,3.8833275802554367e-4,0.9959440800828443,9.492578529513289e-4
00707,127,0,0,10837,0,10964,0.011583363735862823,0,0,0.9884166362641372,0
00714,38,0,0,17960,0,17998,0.002111345705078342,0,0,0.9978886542949217,0
00715,0,0,0,2972,0,2972,0,0,0,1,0
00716,233,0,20,27819,17,28089,0.008295062123963116,0,7.120224999109972e-4,0.9903876962512015,6.052191249243476e-4
00717,141,0,8,16510,0,16659,0.008463893390959841,0,4.802209016147428e-4,0.9910558857074254,0
00718,95,0,0,25549,71,25715,0.0036943418238382267,0,0,0.993544623760451,0.0027610344157106745
00719,38,0,0,29081,0,29119,0.0013049898691575947,0,0,0.9986950101308424,0
00720,59,0,24,21193,0,21276,0.002773077646174093,0,0.0011280315848843769,0.9960988907689415,0
00723,44,0,0,17349,0,17393,0.0025297533490484677,0,0,0.9974702466509515,0
00725,852,10,44,79516,133,80555,0.010576624666377009,1.2413878716404942e-4,5.462106635218173e-4,0.9871019800136552,0.001651045869281857
00727,243,11,48,54504,17,54823,0.004432446236068803,2.0064571438994583e-4,8.755449355197636e-4,0.9941812742826915,3.100888313299163e-4
00728,68,0,59,39570,1,39698,0.001712932641442894,0,0.0014862209683107462,0.9967756562043428,2.519018590357197e-5
00729,82,76,13,51408,14,51593,0.0015893628980675673,0.0014730680518675013,2.5197216676680945e-4,0.9964142422421647,2.713546411334871e-4
00730,205,0,2,31406,21,31634,0.006480369222987925,0,6.322311437061389e-5,0.9927925649617501,6.638427008914459e-4
00731,55,0,0,12667,0,12722,0.004323219619556674,0,0,0.9956767803804433,0
00735,121,0,13,12241,29,12404,0.009754917768461787,0,0.0010480490164463075,0.9868590777168655,0.0023379554982263786
00736,130,68,12,47200,1,47411,0.002741979709350151,0.0014342663095062327,2.531058193246293e-4,0.9955495560102086,2.1092151610385776e-5
00738,271,65,60,29943,37,30376,0.008921516987095075,0.002139847247827232,0.0019752436133789832,0.9857453252567817,0.0012180668949170398
00739,148,0,50,36649,0,36847,0.00401660922191766,0,0.0013569625749721822,0.9946264282031102,0
00740,0,0,0,1625,0,1625,0,0,0,1,0
00741,0,0,0,4880,0,4880,0,0,0,1,0
00745,271,0,0,51136,22,51429,0.005269400532773338,0,0,0.994302825254234,4.277742129926695e-4
00751,5,101,0,20903,0,21009,2.3799324099195584e-4,0.004807463468037508,0,0.99495454329097055,0
00754,0,46,0,37671,10,37727,0,0.0012192859225488377,0,0.9985156519203753,2.6506215707583426e-4
00757,89,0,0,21977,0,22066,0.00403335448200852,0,0,0.9959666455179915,0
00765,498,0,0,8083,26,8607,0.05785988149180899,0,0,0.9391193214825142,0.003020797025676775
00766,37,0,19,23144,1,23201,0.0015947588466014395,0,8.189302185250635e-4,0.9975432093444249,4.3101590448687555e-5
00767,15,12,0,34139,0,34166,4.3903295674061935e-4,3.5122636539249545e-4,0,0.9992097406778668,0
00769,216,0,8,38896,1,39121,0.00552133125431354,0,2.0449375015976073e-4,0.9942486132767567,2.5561718769970092e-5
00771,15,0,54,37077,19,37165,4.0360554284945513e-4,0,0.0014529799542580385,0.9976321808152832,5.112336876093098e-4
00772,0,0,7,20048,0,20055,0,0,3.4904013961605586e-4,0.999650959860384,0
00773,204,16,0,18268,59,18547,0.010999083409715857,8.626732086051653e-4,0,0.9849571359249474,0.003181107456731547
00775,97,0,0,1196,6,1299,0.07467282525019246,0,0,0.9207082371054658,0.004618937644341801
00777,274,0,0,39701,19,39994,0.006851027654148122,0,0,0.9926739010851627,4.7507126068910337e-4
00778,715,32,160,45590,178,46675,0.01531869309051955,6.855918585966791e-4,0.0034279592929833957,0.9767541510444564,0.0038136047134440278
00780,108,0,0,11545,0,11653,0.009267999656740753,0,0,0.9907320003432593,0
00782,61,0,0,18150,18,18229,0.003346316309177684,0,0,0.9956662460913929,9.874375994294805e-4
00783,323,0,0,33018,31,33372,0.009678772623756443,0,0,0.9893923049262855,9.289224499580487e-4
00784,397,0,74,40212,2,40685,0.009757896030478063,0,0.0018188521568145509,0.988374093646307,4.915816640039327e-5
00786,0,0,0,348,0,348,0,0,0,1,0
00791,309,0,22,48159,79,48569,0.006362082810022854,0,4.529638246618213e-4,0.9915584014494843,0.0016265519158310856
00794,0,0,0,28755,0,28755,0,0,0,1,0
00795,31,0,9,44717,9,44766,6.924898360362776e-4,0,2.010454362685967e-4,0.9989054192914265,2.010454362685967e-4
00901,267,6,59,6197,7,6536,0.04085067319461444,9.179926560587516e-4,0.009026927784577723,0.9481334149326806,0.0010709914320685434
00906,0,0,0,184,0,184,0,0,0,1,0
00907,662,25,106,15365,44,16202,0.04085915319096408,0.001543019380323417,0.006542402172571287,0.948339711146772,0.0027157141093692135
00909,32,0,7,4945,5,4989,0.006414111044297455,0,0.0014030867909400682,0.991180597314091,0.0010022048506714773
00911,543,35,38,6626,0,7242,0.07497928748964375,0.004832919083126208,0.005247169290251312,0.9149406241369787,0
00912,0,46,31,5358,20,5455,0,0.008432630614115491,0.0056828597616865265,0.982218148487626,0.0036663611365719525
00913,97,0,0,8309,0,8406,0.011539376635736379,0,0,0.9884606233642637,0
00915,57,19,74,25852,129,26131,0.002181317209444721,7.271057364815736e-4,0.0028318854999808654,0.9893230262906126,0.004936665263480158
00917,155,51,8,17998,0,18212,0.008510871952558752,0.0028003514166483638,4.392708104546453e-4,0.9882495058203382,0
00918,107,0,0,15956,0,16063,0.00666127124447488,0,0,0.9933387287555251,0
00920,126,0,56,16627,0,16809,0.007495984294128145,0,0.003331548575168065,0.9891724671307038,0
00921,251,0,60,33036,47,33394,0.007516320297059352,0,0.0017967299514882913,0.9892795112894532,0.0014074384619991616
00923,163,0,44,23821,0,24028,0.006783752288996171,0,0.001831196936906942,0.9913850507740969,0
00924,671,0,105,48604,128,49508,0.013553365112709057,0,0.002120869354447766,0.9817403247959926,0.00258544073685061
00925,156,74,39,6632,23,6924,0.022530329289428077,0.010687463893703062,0.005632582322357019,0.9578278451761987,0.0033217793183131137
00926,777,350,100,95257,46,96530,0.008049311094996374,0.0036258158085569255,0.0010359473738734072,0.9868123899305915,4.765357919817673e-4
00927,285,150,42,12874,0,13351,0.02134671560182758,0.011235113474646095,0.0031458317729009064,0.9642723391506254,0
00934,19,0,34,26,0,79,0.24050632911392406,0,0.43037974683544306,0.3291139240506329,0
00936,19,0,0,793,0,812,0.023399014778325122,0,0,0.9766009852216748,0
00949,633,9,102,73081,66,73891,0.008566672531160764,1.2180103124873124e-4,0.0013804116874856207,0.9890379071876142,8.932075624906958e-4
00950,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
00951,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
00952,3,0,0,8153,0,8156,3.678273663560569e-4,0,0,0.9996321726336439,0
00953,359,296,71,71159,6,71891,0.004993670974113589,0.004117344312918168,9.87606237220236e-4,0.9898179187937294,8.345968201861151e-5
00956,445,17,63,64796,34,65355,0.006808966414199372,2.6011781807053783e-4,9.639660316731696e-4,0.9914467140999158,5.202356361410757e-4
00957,114,10,28,38666,97,38915,0.0029294616471797507,2.5697031992804833e-4,7.195168957985353e-4,0.9936014390337916,0.0024926121033020687
00959,420,0,40,46999,0,47459,0.008849743989548874,0,8.428327609094166e-4,0.9903074232495417,0
00960,11,0,14,2183,13,2221,0.00495272399819901,0,0.006303466906798739,0.9828905898244035,0.00585321927059883
00961,150,67,47,30512,8,30784,0.004872661122661123,0.0021764553014553016,0.0015267671517671519,0.9911642411642412,2.598752598752599e-4
00962,135,67,0,19373,18,19593,0.006890215893431328,0.003419588628591844,0,0.9887715000255193,9.186954524575103e-4
00965,19,0,22,7273,0,7314,0.0025977577249111294,0,0.0030079299972655183,0.9943943122778234,0
00966,150,22,11,15527,0,15710,0.009548058561425843,0.001400381922342457,7.001909611712285e-4,0.98835136855506045,0
00968,31,29,0,3494,0,3554,0.008722566122678672,0.008159819921215531,0,0.9831176139561058,0
00969,784,9,89,41571,72,42525,0.01843621399176955,2.1164021164021165e-4,0.0020928865373309818,0.9775661375661375,0.0016931216931216932
00971,118,0,0,26455,67,26640,0.004429429429429429,0,0,0.9930555555555556,0.002515015015015015
00976,413,0,16,58424,40,58893,0.0070127179800655425,0,2.7167914692747863e-4,0.9920364050056882,6.791978673186967e-4
00979,645,259,55,14847,91,15897,0.040573693149650876,0.016292382210479964,0.003459772284078757,0.9339498018494056,0.005724350506384853
00982,44,30,15,14152,0,14241,0.003089670669194579,0.0021065936380872128,0.0010532968190436064,0.9937504388736746,0
00983,130,0,101,34520,47,34798,0.0037358468877521697,0,0.0029024656589459164,0.9920110351169608,0.001350652336341169
00985,77,0,33,31735,0,31845,0.0024179620034542313,0,0.0010362694300518134,0.9965457685664939,0
00987,231,0,35,56822,93,57181,0.004039803431209668,0,6.120914289711617e-4,0.99372169077141,0.001626414368409087
01001,15568,443,346,973,291,17621,0.8834912888031327,0.025140457408773624,0.01963566199421145,0.05521820555019579,0.01651438624368651
01002,21449,3273,1788,2206,1350,30066,0.7133971928424133,0.10886050688485333,0.0594691678307723,0.07337191512006919,0.04490121732189184
01003,7922,1823,537,624,332,11238,0.7049297027940915,0.16221747641929168,0.04778430325680726,0.055525894287239724,0.029542623242569854
01005,4715,39,115,62,60,4991,0.9447004608294931,0.007814065317571629,0.02304147465437788,0.012422360248447204,0.012021638950110198
01007,13970,496,85,208,208,14967,0.9333867842587025,0.03313957372887018,0.005679160820471704,0.013897240595977817,0.013897240595977817
01008,1163,0,0,20,14,1197,0.9715956558061821,0,0,0.01670843776106934,0.011695906432748537
01009,249,0,0,0,0,249,1,0,0,0,0
01010,3466,17,135,98,23,3739,0.9269858250869216,0.004546670232682536,0.036105910671302484,0.026210216635464027,0.006151377373629313
01011,1420,2,4,11,11,1448,0.9806629834254144,0.0013812154696132596,0.0027624309392265192,0.007596685082872928,0.007596685082872928
01012,552,0,0,3,5,560,0.9857142857142858,0,0,0.005357142857142857,0.008928571428571428
01013,15025,528,860,6376,276,23065,0.6514199002818123,0.022891827444179492,0.037285931064383264,0.2764361586819857,0.01196618252763928
01020,23061,610,970,4924,532,30097,0.7662225470977174,0.020267800777486127,0.032229125826494336,0.16360434594810114,0.017676180350201017
01022,1649,50,464,186,150,2499,0.6598639455782312,0.020008003201280513,0.18567426970788314,0.0744297719087635,0.060024009603841535
01026,908,5,17,13,11,954,0.9517819706498952,0.005241090146750524,0.01781970649895178,0.013626834381551363,0.011530398322851153
01027,15953,373,361,793,368,17848,0.8938256387270282,0.02089870013446885,0.02022635589421784,0.04443074854325415,0.020618556701030927
01028,13883,740,738,602,237,16200,0.8569753086419754,0.04567901234567901,0.04555555555555556,0.037160493827160496,0.01462962962962963
01029,632,0,16,0,3,651,0.9708141321044547,0,0.02457757296466974,0,0.004608294930875576
01030,10103,186,148,604,82,11123,0.9082981210105188,0.0167221073451407,0.013305762833767868,0.05430189697024184,0.007372111840330846
01031,1130,0,7,48,12,1197,0.9440267335004177,0,0.005847953216374269,0.040100250626566414,0.010025062656641603
01032,502,0,0,31,0,533,0.9418386491557224,0,0,0.058161350844277676,0
01033,5842,18,0,362,111,6333,0.9224696036633507,0.0028422548555187117,0,0.057160903205431865,0.01752723827569872
01034,2079,8,0,44,48,2179,0.9541073887104177,0.0036714089031665903,0,0.020192748967416244,0.02202845341899954
01035,4616,77,338,213,66,5310,0.8693032015065913,0.014500941619585688,0.06365348399246705,0.04011299435028248,0.012429378531073447
01036,4875,32,12,204,68,5191,0.9391254093623579,0.006164515507609324,0.0023116933153534964,0.03929878636100944,0.013099595453669814
01037,730,3,9,56,0,798,0.9147869674185464,0.0037593984962406013,0.011278195488721804,0.07017543859649122,0
01038,2743,38,13,52,21,2867,0.956749215207534,0.013254272758981514,0.004534356470177886,0.018137425880711544,0.007324729682595047
01039,979,0,19,44,0,1042,0.9395393474088292,0,0.018234165067178502,0.04222648752399232,0
01040,16920,496,1322,21054,584,40376,0.4190608282147811,0.012284525460669705,0.03274222310283337,0.5214483851793145,0.014464038042401426
01050,2257,0,47,22,96,2422,0.9318744838976053,0,0.019405450041288193,0.009083402146985962,0.03963666391412056
01053,1536,11,66,83,6,1702,0.9024676850763808,0.006462984723854289,0.038777908343125736,0.04876615746180964,0.0035252643948296123
01054,1867,39,15,25,37,1983,0.9415027735753908,0.019667170953101363,0.007564296520423601,0.012607160867372668,0.018658598083711547
01056,18725,205,344,1825,237,21336,0.8776246719160105,0.009608173978252718,0.016122984626921636,0.08553618297712785,0.01110798650168729
01057,8375,53,60,148,109,8745,0.9576901086335049,0.006060606060606061,0.00686106346483705,0.016923956546598055,0.012464265294453974
01060,13028,689,437,1166,459,15779,0.8256543507193105,0.043665631535585274,0.027695037708346536,0.0738956841371443,0.02908929589961341
01062,8333,531,138,1133,360,10495,0.7939971414959505,0.050595521676989046,0.013149118627918056,0.1079561696045736,0.03430204859456884
01063,393,113,11,40,35,592,0.6638513513513513,0.19087837837837837,0.018581081081081082,0.06756756756756757,0.05912162162162162
01066,9,0,0,0,0,9,1,0,0,0,0
01068,1747,4,6,60,23,1840,0.9494565217391304,0.002173913043478261,0.003260869565217391,0.03260869565217391,0.0125
01069,7711,214,171,439,163,8698,0.886525638077719,0.024603357093584733,0.019659691883191537,0.05047137272936307,0.018739940216141643
01070,552,14,3,25,10,604,0.9139072847682119,0.023178807947019868,0.004966887417218543,0.041390728476821195,0.016556291390728478
01071,1200,0,19,23,28,1270,0.9448818897637795,0,0.014960629921259842,0.01811023622047244,0.02204724409448819
01072,1358,7,16,82,73,1536,0.8841145833333334,0.004557291666666667,0.010416666666666666,0.053385416666666664,0.047526041666666664
01073,5937,125,0,13,65,6140,0.9669381107491857,0.02035830618892508,0,0.0021172638436482085,0.010586319218241042
01074,521,0,0,27,0,548,0.9507299270072993,0,0,0.04927007299270073,0
01075,15094,752,377,1151,389,17763,0.8497438495749592,0.042335191127624835,0.021223892360524688,0.0647976130158194,0.02189945392107189
01077,9371,133,4,170,49,9727,0.9634008430142901,0.013673280559268017,4.112264829855043e-4,0.017477125526883932,0.005037524416572427
01079,583,0,0,75,0,658,0.8860182370820668,0,0,0.11398176291793313,0
01080,2373,0,55,183,191,2802,0.8468950749464668,0,0.019628836545324768,0.06531049250535331,0.0681655960028551
01081,1816,0,3,103,19,1941,0.9356002060793406,0,0.0015455950540958269,0.05306543019062339,0.009788768675940238
01082,9488,54,100,657,287,10586,0.8962781031551105,0.005101076894010958,0.009446438692612885,0.06206310221046665,0.02711127904779898
01083,2839,147,0,0,0,2986,0.9507702612190221,0.049229738780977896,0,0,0
01084,151,0,0,23,0,174,0.867816091954023,0,0,0.13218390804597702,0
01085,35786,1209,707,3816,424,41942,0.853225883362739,0.028825520957512757,0.016856611511134423,0.09098278575175242,0.01010919841686138
01086,333,0,23,16,0,372,0.8951612903225806,0,0.06182795698924731,0.043010752688172046,0
01088,406,0,0,5,5,416,0.9759615384615384,0,0,0.01201923076923077,0.01201923076923077
01089,22602,1320,751,2812,1181,28666,0.7884601967487616,0.04604758250191865,0.026198283681015837,0.09809530454196609,0.04119863252633782
01092,1357,0,1,67,0,1425,0.952280701754386,0,7.017543859649122e-4,0.047017543859649125,0
01093,283,0,0,0,0,283,1,0,0,0,0
01094,282,0,0,0,0,282,1,0,0,0,0
01095,13154,174,383,752,227,14690,0.8954390742001361,0.011844792375765826,0.02607215793056501,0.05119128658951668,0.015452688904016338
01096,2645,12,0,23,15,2695,0.9814471243042672,0.0044526901669758815,0,0.008534322820037106,0.0055658627087198514
01097,51,0,0,0,8,59,0.864406779661017,0,0,0,0.13559322033898305
01098,1175,0,4,10,7,1196,0.9824414715719063,0,0.0033444816053511705,0.008361204013377926,0.005852842809364548
01103,433,54,307,1519,76,2389,0.18124738384261196,0.022603599832565928,0.12850565089995813,0.6358308915864378,0.03181247383842612
01104,6576,332,2064,14439,465,23876,0.27542301893114424,0.013905176746523706,0.08644664097838833,0.6047495392863126,0.019475624057631095
01105,1669,20,2346,7805,117,11957,0.13958350756878815,0.0016726603663126203,0.19620306096847034,0.6527557079535,0.009785063142928829
01106,13773,1072,100,817,260,16022,0.8596305080514293,0.06690800149794034,0.006241418050181001,0.05099238546997878,0.0162276869304706
01107,1266,50,1133,9069,64,11582,0.10930754619236746,0.004317043688482128,0.09782420998100501,0.7830253842168883,0.0055258159212571234
01108,8537,1341,4479,12610,883,27850,0.3065350089766607,0.0481508078994614,0.16082585278276482,0.4527827648114901,0.03170556552962298
01109,6299,342,10297,11921,1044,29903,0.2106477610942046,0.011436979567267498,0.3443467210647761,0.3986556532789352,0.034912884994816575
01118,8521,617,2208,3131,503,14980,0.5688251001335114,0.041188251001335115,0.1473965287049399,0.20901201602136182,0.0335781041388518
01119,6543,191,2682,3885,325,13626,0.48018494055482164,0.014017319829737267,0.19682959048877147,0.2851166886833994,0.023851460443270217
01128,1588,65,417,456,146,2672,0.594311377245509,0.024326347305389222,0.156062874251497,0.17065868263473055,0.05464071856287425
01129,3948,151,1106,1208,349,6762,0.5838509316770186,0.02233067139899438,0.16356107660455488,0.17864537119195503,0.051611949127477075
01151,3486,95,1688,3088,450,8807,0.39582150562052915,0.010786874077438401,0.19166572044964234,0.35063018053820827,0.0510957193141819
01199,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
01201,37594,883,1943,2783,1404,44607,0.8427825229224113,0.01979509942385724,0.04355818593494295,0.06238931109467124,0.03147488062411729
01220,7914,49,54,88,104,8209,0.9640638323790961,0.005969058350590815,0.006578145937385796,0.010719941527591668,0.012669021805335608
01222,790,0,0,8,12,810,0.9753086419753086,0,0,0.009876543209876543,0.014814814814814815
01223,2190,4,61,110,37,2402,0.9117402164862615,0.0016652789342214821,0.0253955037468776,0.04579517069109076,0.015403830141548709
01224,210,0,0,0,0,210,1,0,0,0,0
01225,2999,0,10,97,29,3135,0.9566188197767145,0,0.003189792663476874,0.03094098883572568,0.009250398724082934
01226,6292,124,13,262,91,6782,0.927749926275435,0.018283692126216455,0.0019168386906517252,0.03863167207313477,0.013417870834562076
01229,51,0,0,10,9,70,0.7285714285714285,0,0,0.14285714285714285,0.12857142857142856
01230,7369,116,266,654,137,8542,0.8626785296183563,0.013579957855303207,0.031140248185436665,0.07656286583938188,0.016038398501521892
01235,2577,0,2,31,30,2640,0.9761363636363637,0,7.575757575757576e-4,0.011742424242424242,0.011363636363636364
01236,988,0,66,82,4,1140,0.8666666666666667,0,0.05789473684210526,0.07192982456140351,0.0035087719298245615
01237,2477,6,60,28,9,2580,0.960077519379845,0.002325581395348837,0.023255813953488372,0.010852713178294573,0.0034883720930232558
01238,5281,195,92,104,231,5903,0.8946298492292055,0.033034050482805354,0.015585295612400475,0.01761816025749619,0.03913264441809249
01240,4036,50,113,203,39,4441,0.9088043233505967,0.01125872551227201,0.025444719657734743,0.04571042557982436,0.008781805899572169
01242,471,0,0,0,0,471,1,0,0,0,0
01243,255,2,0,0,0,257,0.9922178988326849,0.007782101167315175,0,0,0
01244,74,0,0,0,0,74,1,0,0,0,0
01245,785,3,4,6,11,809,0.9703337453646477,0.003708281829419036,0.004944375772558714,0.007416563658838072,0.013597033374536464
01247,13968,138,262,605,600,15573,0.8969370063571566,0.008861491042188403,0.01682399023951711,0.03884929043857959,0.038528221922558274
01253,637,0,0,22,13,672,0.9479166666666666,0,0,0.03273809523809524,0.019345238095238096
01254,955,26,10,3,20,1014,0.9418145956607495,0.02564102564102564,0.009861932938856016,0.0029585798816568047,0.01972386587771203
