community_name,community_type,community_parent,tot_foreign_born_univ,native,foreign_born,pct_tot_foreign_born_univ,pct_native,pct_foreign_born
Acton,Unincorporated neighborhood,Acton,7226.242164024438,6443.588906448935,782.6532575755127,1.0,0.8916929103937435,0.10830708960625775
Adams-Normandie,Incorporated neighborhood,Adams-Normandie,17173.318152899843,9911.402757721442,7261.915395178398,1.0,0.5771396459016761,0.42286035409832373
Agoura Hills,City,Agoura Hills,20631.057701327867,16948.295932743382,3682.761768584486,1.0,0.821494281975303,0.17850571802469703
Agua Dulce,Unincorporated neighborhood,Agua Dulce,3500.769738729277,3223.039555396993,277.73018333228083,1.0,0.9206659666130753,0.07933403338692376
Alhambra,City,Alhambra,84866.00000000006,42566.999999999985,42298.99999999987,1.0,0.5015789597718752,0.49842104022812245
Alondra Park,Unincorporated neighborhood,Alondra Park,8646.624414952976,5863.85969703715,2782.7647179158253,1.0,0.6781675039448375,0.3218324960551625
Altadena,Unincorporated neighborhood,Altadena,44649.864898641405,35563.27982745372,9086.585071187636,1.0,0.796492439746124,0.20350756025387481
Angeles Crest,Unincorporated area,Angeles Crest,663.2325656677483,592.2220317367257,71.01053393102238,1.0,0.8929326791130521,0.10706732088694763
Arcadia,City,Arcadia,57302.06959552707,29965.871989292897,27336.19760623417,1.0,0.5229457190780418,0.4770542809219582
Arleta,Incorporated neighborhood,Arleta,33793.35163528245,17915.96769078295,15877.383944499497,1.0,0.5301624971722994,0.46983750282770054
Arlington Heights,Incorporated neighborhood,Arlington Heights,24086.325635669702,11994.422774696142,12091.902860973554,1.0,0.4979764434029519,0.5020235565970479
Artesia,City,Artesia,16789.0,8715.0,8074.000000000003,1.0,0.5190898802787539,0.4809101197212462
Athens,Unincorporated neighborhood,Athens,8017.966502463056,5992.972413793101,2024.9940886699508,1.0,0.747442934807985,0.25255706519201454
Atwater Village,Incorporated neighborhood,Atwater Village,13603.0073755378,7700.760295021511,5902.247080516289,1.0,0.5661071910370158,0.4338928089629843
Avalon,City,Avalon,3730.0626185958254,2882.569259962049,847.4933586337761,1.0,0.7727937985789596,0.22720620142104028
Avocado Heights,Unincorporated neighborhood,Avocado Heights,16239.799766237273,10597.549029249654,5642.250736987621,1.0,0.652566483687938,0.3474335163120622
Azusa,City,Azusa,47322.47614128887,33126.659329082424,14195.816812206467,1.0,0.700019568506463,0.2999804314935375
Baldwin Hills/Crenshaw,Incorporated neighborhood,Baldwin Hills/Crenshaw,30802.70609926677,24167.767922067753,6634.938177199025,1.0,0.7845988545351554,0.21540114546484485
Baldwin Park,City,Baldwin Park,76537.56767290222,42622.20758157457,33915.36009132759,1.0,0.5568795674789228,0.4431204325210764
Bel-Air,Incorporated neighborhood,Bel-Air,7626.865030674848,5479.261015058561,2147.6040156162853,1.0,0.7184158881822692,0.2815841118177306
