"","neighborhood","region","population","pctforeign","violations","vpp"
"1","South El Monte","San Gabriel Valley",21316.3015021463,0.443589911459068,11,5.16036986945997
"2","San Gabriel","San Gabriel Valley",40029.4194630439,0.551576974921176,12,2.99779516190054
"3","San Fernando","San Fernando Valley",24396,0.353090670601738,7,2.8693228398098
"4","Monterey Park","San Gabriel Valley",61302.939451534,0.536337914317047,14,2.28374040873984
"5","Huntington Park","Southeast",58926.9671634008,0.482950157992948,12,2.03641907562029
"6","La Puente","San Gabriel Valley",40009.9928919236,0.403350420560336,8,1.999500480195
"7","Glendale","Verdugos",198652.741416318,0.543169222617196,38,1.91288575879067
"8","Walnut","San Gabriel Valley",30043.5277739179,0.500655239515866,5,1.66425196056394
"9","Covina","San Gabriel Valley",53112.0982514843,0.233427407433299,8,1.50624815500985
"10","Rosemead","San Gabriel Valley",54758.3019006893,0.558495891051989,8,1.46096568416401
