PUMA,Name
"00105","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA"
"00102",Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA
"08502",Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA
"00108","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA"
"00107",Alameda County (Central)--Hayward City PUMA
"00101",Alameda County (North)--Berkeley & Albany Cities PUMA
"00110","Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA"
"08504",Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA
"00109",Alameda County (South Central)--Fremont City (East) PUMA
"00106","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA"
"00104",Alameda County (North Central)--Oakland City (South Central) PUMA
"00103",Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA
"06103",Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA
"06101",Placer County (Southwest)--Roseville City PUMA
"06102","Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA"
"01700",El Dorado County--El Dorado Hills PUMA
"08702",Santa Cruz County (South & Coastal)--Santa Cruz City PUMA
"08701",Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA
"04702",Merced County (Northeast)--Merced & Atwater Cities PUMA
"04701",Merced County (West & South)--Los Banos & Livingston Cities PUMA
"03300",Lake & Mendocino Counties PUMA
"01500","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA"
"01100","Colusa, Glenn, Tehama & Trinity Counties PUMA"
"08303",Santa Barbara County--South Coast Region PUMA
"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA"
"08301",Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA
"10100",Sutter & Yuba Counties--Yuba City PUMA
"04101",Marin County (North & West)--Novato & San Rafael (North) Cities PUMA
"04102","Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA"
"05700",Nevada & Sierra Counties PUMA
"05500",Napa County--Napa City PUMA
"03100",Kings County--Hanford City PUMA
"01302","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA"
"01301",Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA
"01303","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA"
"01309",Contra Costa County (East)--Brentwood & Oakley Cities PUMA
"01305",Contra Costa County (South)--San Ramon City & Danville Town PUMA
"01308",Contra Costa County (Northeast)--Antioch City PUMA
"01306","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA"
"01304","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA"
"01307",Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA
"07319","San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA"
"07322",San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA
"07310",San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA
"07307","San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA"
"07320",San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA
"07316",San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA
"07309",San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA
"07304",San Diego County (Northwest)--Carlsbad City PUMA
"07301",San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA
"07313",San Diego County (Central)--El Cajon & Santee Cities PUMA
"07321",San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA
"07315",San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA
"07312",San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA
"07311",San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA
"07306",San Diego County (Northwest)--Escondido City (East) PUMA
"07318",San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA
"07308",San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA
"07314",San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA
"07317",San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA
"07305",San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA
"07303",San Diego County (Northwest)--Vista City PUMA
"07901",San Luis Obispo County (West)--Coastal Region PUMA
"07902",San Luis Obispo County (East)--Inland Region PUMA
"11300","Yolo County--Davis, Woodland & West Sacramento Cities PUMA"
"08104",San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA
"08101","San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA"
"08501","Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA"
"08106","San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA"
"08105","San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA"
"08103","San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA"
"08102","San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA"
"10703","Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA"
"10702",Tulare County (West Central)--Tulare & Porterville Cities PUMA
"10701",Tulare County (Northwest)--Visalia City PUMA
"03900",Madera County--Madera City PUMA
"08506","Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA"
"08507","Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA"
"08512",Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA
"08505",Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA
"08513",Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA
"08508",Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA
"08514",Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA
"08511",Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA
"08503",Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA
"08510",Santa Clara County (Central)--San Jose City (Central) PUMA
"08509",Santa Clara County (Central)--San Jose City (Northwest) PUMA
"05303",Monterey (South & East) & San Benito Counties PUMA
"05301","Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA"
"05302",Monterey County (Northeast)--Salinas City PUMA
"07501",San Francisco County (North & West)--Richmond District PUMA
"07506",San Francisco County (South Central)--Sunset District (South) PUMA
"07505",San Francisco County (Central)--Sunset District (North) PUMA
"07504",San Francisco County (Central)--Inner Mission & Castro PUMA
"07502",San Francisco County (North & East)--North Beach & Chinatown PUMA
"07507",San Francisco County (South Central)--Bayview & Hunters Point PUMA
"02300",Humboldt County PUMA
"07503",San Francisco County (Central)--South of Market & Potrero PUMA
"09501",Solano County (Southwest)--Vallejo & Benicia Cities PUMA
"09503",Solano County (Northeast)--Vacaville & Dixon Cities PUMA
"09502",Solano County (Central)--Fairfield & Suisun City Cities PUMA
"09701","Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA"
"09702","Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA"
"09703",Sonoma County (Central)--Santa Rosa City PUMA
"09903","Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA"
"09901","Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities PUMA"
"09904",Stanislaus County (Central)--Modesto City (East) PUMA
"09902",Stanislaus County (Central)--Modesto City (West) PUMA
"06712","Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA"
