puma,Name
"03726","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA"
"03705",Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA
"03768",Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA
"03760","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA"
"03765",Los Angeles County (Southeast)--Long Beach City (East) PUMA
"03769",Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA
"03766",Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA
"03767",Los Angeles County (South)--LA City (South/San Pedro) PUMA
"03748",Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA
"03728",Los Angeles County (Southwest)--Santa Monica City PUMA
"03727",Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA
"03701",Los Angeles County (North/Unincorporated)--Castaic PUMA
"03761",Los Angeles County (South Central)--Torrance City PUMA
"03759",Los Angeles County (South Central)--Hawthorne City PUMA
"03749",Los Angeles County (Central)--Inglewood City PUMA
"03763",Los Angeles County (South Central)--Long Beach City (North) PUMA
"03762",Los Angeles County (South Central)--Carson City PUMA
"03729",Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA
"03724",Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA
"03725","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA"
"03703",Los Angeles County (North Central)--Lancaster City PUMA
"03704",Los Angeles County (North Central)--Palmdale City PUMA
"03758","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA"
"03702",Los Angeles County (Northwest)--Santa Clarita City PUMA
"03709",Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA
"03710","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA"
"03711","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA"
"03757",Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA
"03750",Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA
"03747",Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA
"03706",Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA
"03707",Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA
"03708","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA"
"03719",Los Angeles County (Central)--Glendale City PUMA
"03717","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA"
"03764","Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA"
"03731",Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA
"03722",Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA
"03718",Los Angeles County (Central)--Pasadena City PUMA
"03738",Los Angeles County (Central)--El Monte & South El Monte Cities PUMA
"03715",Los Angeles County (East Central)--West Covina City PUMA
"03713",Los Angeles County (East Central)--Covina & Walnut Cities PUMA
"03712",Los Angeles County (East Central)--Pomona City PUMA
"03735","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA"
"03716",Los Angeles County (East Central)--La Puente & Industry Cities PUMA
"03756",Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA
"03751",Los Angeles County (South Central)--LA City (South Central/Watts) PUMA
"03730",Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA
"03723",Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA
"03720",Los Angeles County (Central)--Burbank City PUMA
"03736",Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA
"03714","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA"
"03746",Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA
"03721",Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA
"03737",Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA
"03754",Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA
"03755",Los Angeles County (Southeast)--Norwalk City PUMA
"03752",Los Angeles County (South)--South Gate & Lynwood Cities PUMA
"03742","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA"
"03745",Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA
"03732",Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA
"03739",Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA
"03753",Los Angeles County (South)--Downey City PUMA
"03734","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA"
"03733",Los Angeles County (Central)--LA City (Central/Koreatown) PUMA
"03740",Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA
"03744",Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA
"03741","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA"
"03743",Los Angeles County (Central)--East Los Angeles PUMA
