community_parent,tot_pop_univ,white,black,asn,hisp,oth
Acton,7449.4641386030935,5406.691609320231,134.69509346866394,108.45741584454781,1526.2881134730426,273.3319064966008
Adams-Normandie,17180.868265731468,1096.4119684984814,3999.172626087176,1416.1639271074635,10412.629595743108,256.49014829524253
Agoura Hills,20668.52251734873,15395.286305107302,552.5617859303102,1802.0223789199233,2334.09534224357,584.5567051476288
Agua Dulce,3608.952309126253,2757.4619905392938,12.296216244486565,75.16564181428599,608.2713981961447,155.7570623320401
Alhambra,85167.99999999999,7323.999999999994,1385.9999999999993,42976.999999999985,32060.999999999996,1419.9999999999998
Alondra Park,8375.584368658312,1634.3484949775611,1385.5407274482602,1497.3354726065145,3504.277646456385,354.0820271695931
Altadena,44810.860954352334,17531.41794781647,9717.172179151203,3053.6207919283106,12191.205725309148,2317.4443101472
Angeles Crest,660.6123674992144,440.4746180287533,44.10820001966884,25.105198300770198,121.59207599043975,29.332275159582466
Arcadia,57921.56094226652,13037.159936874305,699.1864644573026,35679.94613389449,6605.765175229643,1899.5032318107455
Arleta,34818.60138751239,2837.887016848365,371.63448959365724,3656.526263627353,27599.42180376611,353.13181367690805
Arlington Heights,23530.610048421,1253.7442083345866,3197.6558566304248,4855.653899166731,13859.110466155784,364.44561813346223
Artesia,16853.000000000004,3136.0000000000005,693.0000000000003,6069.000000000003,6279.000000000001,676.0000000000006
Athens,8829.718226600982,98.71724137931031,4592.144827586206,72.56945812807881,3864.4837438423638,201.80295566502457
Atwater Village,14177.883220651509,4080.280885064536,114.0,2904.1530424093426,6348.588199139524,730.861094038107
Avalon,3797.299810246679,1138.8861480075902,14.999999999999998,10.958254269449716,2554.6091081593922,77.84629981024666
Avocado Heights,18050.02091105536,1044.9935735050283,50.35402849841423,1856.4814356148424,15032.462766286404,65.72910715065917
Azusa,47516.90020423628,8963.483734253698,1051.4731526368594,5265.187706342574,31289.975009469228,946.7806015339304
Baldwin Hills/Crenshaw,31195.97996142,2162.8098127126295,17979.27404505261,1481.315716833241,8328.741437888679,1243.8389489328329
