language,1980,1990,2000,2010,2018
0: N/A or blank,"4.6
(4.5-4.8)
347,300.0","8.3
(8.1-8.5)
731,861.0","7.7
(7.5-7.8)
727,893.0","6.5
(6.4-6.7)
640,839.0","6.0
(5.8-6.1)
602,825.0"
1: English,"64.8
(64.5-65.2)
4,860,300.0","50.2
(49.8-50.5)
4,420,468.0","42.8
(42.5-43.1)
4,068,318.0","40.0
(39.7-40.3)
3,930,328.0","40.7
(40.4-41.0)
4,108,477.0"
2: German,".6
(0.6-0.7)
47,900.0",".4
(0.4-0.5)
37,284.0",".3
(0.3-0.3)
28,688.0",".3
(0.2-0.3)
25,408.0",".2
(0.2-0.2)
19,450.0"
"3: Yiddish, Jewish",".3
(0.2-0.3)
21,100.0",".1
(0.1-0.1)
9,087.0",".0
(0.0-0.1)
4,304.0",".0
(0.0-0.0)
1,617.0",".0
(0.0-0.0)
1,969.0"
4: Dutch,".1
(0.1-0.1)
7,900.0",".1
(0.1-0.2)
11,557.0",".1
(0.1-0.1)
8,954.0",".1
(0.0-0.1)
5,441.0",".0
(0.0-0.1)
4,745.0"
5: Swedish,".1
(0.0-0.1)
4,800.0",".0
(0.0-0.1)
3,731.0",".0
(0.0-0.1)
3,572.0",".0
(0.0-0.0)
3,408.0",".0
(0.0-0.0)
3,622.0"
6: Danish,".0
(0.0-0.1)
3,000.0",".0
(0.0-0.0)
2,535.0",".0
(0.0-0.0)
1,483.0",".0
(0.0-0.0)
911.0",".0
(0.0-0.0)
1,094.0"
7: Norwegian,".0
(0.0-0.0)
2,200.0",".0
(0.0-0.0)
1,443.0",".0
(0.0-0.0)
1,345.0",".0
(0.0-0.0)
1,175.0",".0
(0.0-0.0)
478.0"
8: Icelandic,".0
(0.0-0.0)
200.0",".0
(0.0-0.0)
104.0",".0
(0.0-0.0)
608.0",".0
---
.0",".0
---
.0"
10: Italian,".6
(0.5-0.6)
41,700.0",".3
(0.3-0.4)
27,911.0",".2
(0.2-0.2)
20,541.0",".1
(0.1-0.2)
14,562.0",".1
(0.1-0.1)
11,749.0"
11: French,".5
(0.5-0.6)
37,600.0",".4
(0.4-0.5)
37,934.0",".4
(0.4-0.5)
42,177.0",".3
(0.3-0.4)
33,962.0",".4
(0.4-0.4)
39,993.0"
12: Spanish,"21.2
(20.9-21.5)
1,591,300.0","28.8
(28.5-29.1)
2,535,832.0","34.6
(34.3-34.9)
3,284,168.0","37.2
(36.9-37.5)
3,659,345.0","37.0
(36.7-37.3)
3,741,860.0"
13: Portuguese,".1
(0.1-0.1)
7,600.0",".1
(0.1-0.1)
7,735.0",".1
(0.1-0.1)
8,222.0",".2
(0.1-0.2)
15,477.0",".2
(0.2-0.2)
19,640.0"
14: Rumanian,".0
(0.0-0.1)
3,000.0",".1
(0.0-0.1)
4,602.0",".1
(0.0-0.1)
5,102.0",".0
(0.0-0.1)
4,912.0",".0
(0.0-0.0)
3,434.0"
15: Celtic,".0
(0.0-0.0)
800.0",".0
(0.0-0.0)
1,261.0",".0
(0.0-0.0)
882.0",".0
(0.0-0.0)
260.0",".0
(0.0-0.0)
387.0"
