language,1980,1990,2000,2010,2018
0: N/A or blank,"4.5
(4.4-4.5)
10,110,900.0","7.4
(7.3-7.4)
18,256,718.0","6.8
(6.7-6.8)
19,041,501.0","6.5
(6.5-6.5)
20,095,332.0","6.0
(6.0-6.0)
19,569,478.0"
1: English,"85.0
(85.0-85.1)
192,810,500.0","79.8
(79.8-79.9)
198,101,349.0","76.6
(76.5-76.6)
215,438,079.0","74.3
(74.2-74.3)
229,753,346.0","73.5
(73.5-73.5)
240,473,157.0"
2: German,".7
(0.7-0.7)
1,662,700.0",".7
(0.7-0.7)
1,639,286.0",".5
(0.5-0.5)
1,448,398.0",".4
(0.4-0.4)
1,222,054.0",".3
(0.3-0.3)
1,062,774.0"
"3: Yiddish, Jewish",".1
(0.1-0.1)
326,100.0",".1
(0.1-0.1)
217,107.0",".1
(0.1-0.1)
176,024.0",".1
(0.0-0.1)
158,443.0",".1
(0.1-0.1)
177,557.0"
4: Dutch,".1
(0.1-0.1)
143,600.0",".1
(0.1-0.1)
151,577.0",".1
(0.1-0.1)
160,760.0",".1
(0.0-0.1)
155,110.0",".1
(0.0-0.1)
166,839.0"
5: Swedish,".0
(0.0-0.0)
101,200.0",".0
(0.0-0.0)
77,137.0",".0
(0.0-0.0)
68,235.0",".0
(0.0-0.0)
58,005.0",".0
(0.0-0.0)
53,367.0"
6: Danish,".0
(0.0-0.0)
45,700.0",".0
(0.0-0.0)
36,127.0",".0
(0.0-0.0)
34,330.0",".0
(0.0-0.0)
25,721.0",".0
(0.0-0.0)
26,295.0"
7: Norwegian,".0
(0.0-0.1)
110,900.0",".0
(0.0-0.0)
81,513.0",".0
(0.0-0.0)
54,407.0",".0
(0.0-0.0)
42,173.0",".0
(0.0-0.0)
28,797.0"
8: Icelandic,".0
(0.0-0.0)
4,700.0",".0
(0.0-0.0)
6,812.0",".0
(0.0-0.0)
4,604.0",".0
---
.0",".0
---
.0"
10: Italian,".7
(0.7-0.7)
1,635,700.0",".5
(0.5-0.5)
1,311,850.0",".4
(0.3-0.4)
993,068.0",".2
(0.2-0.2)
729,721.0",".2
(0.2-0.2)
544,785.0"
11: French,".7
(0.7-0.7)
1,619,300.0",".8
(0.8-0.8)
1,913,464.0",".7
(0.7-0.8)
2,101,854.0",".7
(0.7-0.7)
2,098,698.0",".6
(0.6-0.6)
2,081,664.0"
12: Spanish,"5.1
(5.1-5.2)
11,613,500.0","7.0
(7.0-7.0)
17,357,794.0","10.0
(9.9-10.0)
28,079,424.0","12.0
(11.9-12.0)
36,981,799.0","12.7
(12.6-12.7)
41,410,873.0"
13: Portuguese,".2
(0.2-0.2)
372,100.0",".2
(0.2-0.2)
412,713.0",".2
(0.2-0.2)
584,851.0",".2
(0.2-0.2)
688,532.0",".3
(0.2-0.3)
826,932.0"
14: Rumanian,".0
(0.0-0.0)
36,000.0",".0
(0.0-0.0)
63,131.0",".0
(0.0-0.0)
121,331.0",".0
(0.0-0.0)
143,533.0",".1
(0.0-0.1)
167,579.0"
15: Celtic,".0
(0.0-0.0)
30,700.0",".0
(0.0-0.0)
29,895.0",".0
(0.0-0.0)
31,819.0",".0
(0.0-0.0)
18,010.0",".0
(0.0-0.0)
16,005.0"
16: Greek,".2
(0.2-0.2)
405,300.0",".2
(0.2-0.2)
385,214.0",".1
(0.1-0.1)
358,807.0",".1
(0.1-0.1)
298,852.0",".1
(0.1-0.1)
262,547.0"
17: Albanian,".0
(0.0-0.0)
13,100.0",".0
(0.0-0.0)
21,438.0",".0
(0.0-0.0)
72,456.0",".0
(0.0-0.0)
131,681.0",".0
(0.0-0.0)
154,219.0"
