rankinyear,1980_lang,1980_count,1980_pct,1990_lang,1990_count,1990_pct,2000_lang,2000_count,2000_pct,2010_lang,2010_count,2010_pct,2018_lang,2018_count,2018_pct
1,English,4860300,0.6484377084611895,English,4420468,0.5018277879854486,English,4068318,0.42813196462483605,English,3930328,0.3999000028183984,English,4108477,0.4066250211429369
2,Spanish,1591300,0.2123035461749873,Spanish,2535832,0.2878769766600993,Spanish,3284168,0.3456114536764379,Spanish,3659345,0.3723282321000924,Spanish,3741860,0.3703401288637882
3,Chinese,88600,0.011820583291085198,Chinese,194545,0.0220854640308739,Chinese,256006,0.026940949978773977,Chinese,333886,0.03397197698029879,Chinese,401703,0.03975743100622961
4,Filipino,75000,0.010006137097419751,Filipino,155155,0.01761376633534781,Filipino,204409,0.021511107724862737,Filipino,222248,0.02261311926800598,Filipino,236587,0.023415536676277857
5,Japanese,59200,0.007898177548896657,Korean,125840,0.014285819700558594,Korean,167014,0.017575821737595827,Korean,191070,0.01944084400551592,Korean,181622,0.017975529518608112
6,Korean,53600,0.007151052645622649,Armenian,97006,0.011012477955120684,Armenian,129361,0.013613384960525067,Armenian,165571,0.016846391285064512,Armenian,169458,0.01677163163693987
7,German,47900,0.006390586226218748,Japanese,63141,0.007167998583224492,Persian,72628,0.007643052565402359,Vietnamese,86663,0.008817720542471484,Hindi,79249,0.007843448144058397
8,Italian,41700,0.005563412226165382,Vietnamese,53482,0.0060714733727374025,Vietnamese,68984,0.007259573968327867,Persian,66967,0.006813707021078059,Persian,72613,0.007186668602562964
9,Armenian,39500,0.0052698988713077355,Persian,43537,0.004942480390203587,Japanese,59553,0.006267096841815921,Hindi,65257,0.006639719250892094,Vietnamese,69346,0.006863326414186597
10,French,37600,0.005016410064839769,French,37934,0.0043064072196518565,Hindi,53934,0.005675777896436785,Japanese,52735,0.0053656403864075055,Japanese,49664,0.004915355507659608
