year,district_code,party_c,party_a,party_s,color
2013,c013a015s009,D,D,D,blue
2013,c011a015s009,D,D,D,blue
2013,c005a015s009,D,D,D,blue
2013,c013a018s009,D,D,D,blue
2013,c015a018s009,D,D,D,blue
2013,c013a020s009,D,D,D,blue
2013,c015a020s009,D,D,D,blue
2013,c011a016s009,D,D,D,blue
2013,c011a014s009,D,D,D,blue
2013,c005a014s009,D,D,D,blue
2013,c005a015s003,D,D,D,blue
2013,c003a014s003,D,D,D,blue
2013,c011a014s003,D,D,D,blue
2013,c005a014s003,D,D,D,blue
2013,c003a011s003,D,D,D,blue
2013,c009a009s003,D,D,D,blue
2013,c003a009s003,D,D,D,blue
2013,c006a009s003,D,D,D,blue
2013,c003a004s003,D,D,D,blue
2013,c005a004s003,D,D,D,blue
2013,c003a007s003,D,D,D,blue
2013,c005a010s003,D,D,D,blue
2013,c002a010s003,D,D,D,blue
2013,c013a018s010,D,D,D,blue
2013,c013a020s010,D,D,D,blue
2013,c015a020s010,D,D,D,blue
2013,c017a020s010,D,D,D,blue
2013,c015a025s010,D,D,D,blue
2013,c017a025s010,D,D,D,blue
2013,c019a025s010,D,D,D,blue
2013,c018a028s010,D,D,D,blue
2013,c019a028s010,D,D,D,blue
2013,c019a027s010,D,D,D,blue
2013,c015a020s007,D,D,D,blue
2013,c017a020s007,D,D,D,blue
2013,c015a016s007,D,D,D,blue
2013,c011a016s007,D,D,D,blue
2013,c009a014s007,D,D,D,blue
2013,c011a014s007,D,D,D,blue
2013,c005a014s007,D,D,D,blue
2013,c009a011s007,D,D,D,blue
2013,c011a011s007,D,D,D,blue
2013,c013a017s011,D,D,D,blue
2013,c012a017s011,D,D,D,blue
2013,c014a017s011,D,D,D,blue
2013,c012a019s011,D,D,D,blue
2013,c014a019s011,D,D,D,blue
2013,c014a022s011,D,D,D,blue
2013,c017a025s015,D,D,D,blue
2013,c019a025s015,D,D,D,blue
2013,c017a024s015,D,D,D,blue
2013,c018a024s015,D,D,D,blue
2013,c017a028s015,D,D,D,blue
2013,c018a028s015,D,D,D,blue
2013,c019a028s015,D,D,D,blue
2013,c018a029s015,D,D,D,blue
2013,c019a029s015,D,D,D,blue
2013,c019a027s015,D,D,D,blue
2013,c019a025s017,D,D,D,blue
2013,c020a030s017,D,D,D,blue
2013,c019a030s017,D,D,D,blue
2013,c020a029s017,D,D,D,blue
2013,c018a029s017,D,D,D,blue
2013,c019a029s017,D,D,D,blue
2013,c024a035s017,D,R,D,purple
2013,c019a027s017,D,D,D,blue
2013,c017a024s013,D,D,D,blue
2013,c014a024s013,D,D,D,blue
2013,c018a024s013,D,D,D,blue
2013,c018a028s013,D,D,D,blue
2013,c014a019s013,D,D,D,blue
2013,c014a022s013,D,D,D,blue
2013,c018a022s013,D,D,D,blue
2013,c009a009s005,D,D,D,blue
2013,c003a009s005,D,D,D,blue
2013,c007a009s005,D,D,D,blue
2013,c009a013s005,D,D,D,blue
2013,c010a013s005,R,D,D,purple
2013,c009a012s005,D,R,D,purple
2013,c010a012s005,R,R,D,purple
2013,c010a021s005,R,D,D,purple
2013,c006a009s006,D,D,D,blue
2013,c007a009s006,D,D,D,blue
2013,c003a007s006,D,D,D,blue
2013,c006a007s006,D,D,D,blue
2013,c006a008s006,D,D,D,blue
2013,c007a008s006,D,D,D,blue
2013,c007a009s008,D,D,D,blue
2013,c010a012s008,R,R,D,purple
2013,c004a005s008,R,R,D,purple
2013,c008a005s008,R,R,D,purple
2013,c004a023s008,R,R,D,purple
2013,c016a023s008,D,R,D,purple
2013,c022a023s008,R,R,D,purple
2013,c023a023s008,R,R,D,purple
2013,c016a031s008,D,D,D,blue
2013,c022a031s008,R,D,D,purple
2013,c010a021s008,R,D,D,purple
2013,c008a026s008,R,R,D,purple
2013,c023a026s008,R,R,D,purple
2013,c007a008s008,D,D,D,blue
2013,c004a005s001,R,R,R,red
2013,c001a005s001,R,R,R,red
2013,c004a006s001,R,R,R,red
2013,c001a006s001,R,R,R,red
2013,c007a006s001,D,R,R,purple
2013,c004a001s001,R,R,R,red
2013,c001a001s001,R,R,R,red
2013,c007a008s001,D,D,R,purple
2013,c016a005s012,D,R,R,purple
2013,c016a031s012,D,D,R,purple
2013,c021a031s012,R,D,R,purple
2013,c016a021s012,D,D,R,purple
2013,c010a021s012,R,D,R,purple
2013,c020a030s012,D,D,R,purple
2013,c020a029s012,D,D,R,purple
2013,c004a006s004,R,R,R,red
2013,c001a006s004,R,R,R,red
2013,c001a001s004,R,R,R,red
2013,c001a003s004,R,R,R,red
2013,c003a003s004,D,R,R,purple
2013,c003a004s004,D,D,R,purple
2013,c003a007s004,D,D,R,purple
2013,c006a007s004,D,D,R,purple
2013,c006a008s004,D,D,R,purple
2013,c007a008s004,D,D,R,purple
2013,c016a023s014,D,R,R,purple
2013,c022a023s014,R,R,R,red
2013,c023a023s014,R,R,R,red
2013,c016a031s014,D,D,R,purple
2013,c021a031s014,R,D,R,purple
2013,c022a031s014,R,D,R,purple
2013,c021a032s014,R,D,R,purple
2013,c023a032s014,R,D,R,purple
2013,c023a034s014,R,R,R,red
2013,c021a026s014,R,R,R,red
2013,c022a026s014,R,R,R,red
2013,c023a026s014,R,R,R,red
2013,c023a023s016,R,R,D,purple
2013,c021a032s016,R,D,D,purple
2013,c023a032s016,R,D,D,purple
2013,c021a034s016,R,R,D,purple
2013,c023a034s016,R,R,D,purple
2013,c022a026s016,R,R,D,purple
2013,c023a026s016,R,R,D,purple
2013,c008a042s016,R,R,D,purple
2013,c008a033s016,R,R,D,purple
2013,c023a036s016,R,D,D,purple
2013,c003a004s002,D,D,D,blue
2013,c005a004s002,D,D,D,blue
2013,c005a010s002,D,D,D,blue
2013,c002a010s002,D,D,D,blue
2013,c005a002s002,D,D,D,blue
2013,c002a002s002,D,D,D,blue
2013,c051a056s040,D,D,D,blue
2013,c051a078s040,D,D,D,blue
2013,c053a078s040,D,D,D,blue
2013,c051a080s040,D,D,D,blue
2013,c053a080s040,D,D,D,blue
2013,c052a080s040,D,D,D,blue
2013,c051a079s040,D,D,D,blue
2013,c050a079s040,R,D,D,purple
2013,c053a079s040,D,D,D,blue
2013,c051a071s040,D,R,D,purple
2013,c050a071s040,R,R,D,purple
2013,c053a071s040,D,R,D,purple
2013,c036a056s028,D,D,D,blue
2013,c042a071s028,R,R,D,purple
