fips,county,population
01001,"Autauga County, Alabama",55380
01003,"Baldwin County, Alabama",212830
01005,"Barbour County, Alabama",25361
01007,"Bibb County, Alabama",22493
01009,"Blount County, Alabama",57681
01011,"Bullock County, Alabama",10248
01013,"Butler County, Alabama",19828
01015,"Calhoun County, Alabama",114618
01017,"Chambers County, Alabama",33660
01019,"Cherokee County, Alabama",25903
01021,"Chilton County, Alabama",44055
01023,"Choctaw County, Alabama",12925
01025,"Clarke County, Alabama",24128
01027,"Clay County, Alabama",13337
01029,"Cleburne County, Alabama",14916
01031,"Coffee County, Alabama",51662
01033,"Colbert County, Alabama",54771
01035,"Conecuh County, Alabama",12394
01037,"Coosa County, Alabama",10757
01039,"Covington County, Alabama",37200
01041,"Crenshaw County, Alabama",13844
01043,"Cullman County, Alabama",82853
01045,"Dale County, Alabama",49277
01047,"Dallas County, Alabama",39149
01049,"DeKalb County, Alabama",71310
01051,"Elmore County, Alabama",81144
01053,"Escambia County, Alabama",37057
01055,"Etowah County, Alabama",102748
01057,"Fayette County, Alabama",16494
01059,"Franklin County, Alabama",31466
01061,"Geneva County, Alabama",26417
01063,"Greene County, Alabama",8324
01065,"Hale County, Alabama",14809
01067,"Henry County, Alabama",17133
01069,"Houston County, Alabama",104702
01071,"Jackson County, Alabama",51852
01073,"Jefferson County, Alabama",659680
01075,"Lamar County, Alabama",13885
01077,"Lauderdale County, Alabama",92556
01079,"Lawrence County, Alabama",33058
01081,"Lee County, Alabama",161152
01083,"Limestone County, Alabama",94727
01085,"Lowndes County, Alabama",10079
01087,"Macon County, Alabama",18708
01089,"Madison County, Alabama",362276
01091,"Marengo County, Alabama",19321
01093,"Marion County, Alabama",29866
01095,"Marshall County, Alabama",95643
01097,"Mobile County, Alabama",414114
01099,"Monroe County, Alabama",21270
01101,"Montgomery County, Alabama",226941
01103,"Morgan County, Alabama",119213
01105,"Perry County, Alabama",9293
01107,"Pickens County, Alabama",20243
01109,"Pike County, Alabama",33333
01111,"Randolph County, Alabama",22647
01113,"Russell County, Alabama",57952
01115,"St. Clair County, Alabama",87989
01117,"Shelby County, Alabama",213432
01119,"Sumter County, Alabama",12797
01121,"Talladega County, Alabama",80387
01123,"Tallapoosa County, Alabama",40541
01125,"Tuscaloosa County, Alabama",207305
01127,"Walker County, Alabama",64110
01129,"Washington County, Alabama",16541
01131,"Wilcox County, Alabama",10681
01133,"Winston County, Alabama",23784
02013,"Aleutians East Borough, Alaska",3385
02016,"Aleutians West Census Area, Alaska",5698
02020,"Anchorage Municipality, Alaska",293531
02050,"Bethel Census Area, Alaska",18134
02060,"Bristol Bay Borough, Alaska",875
02068,"Denali Borough, Alaska",2246
02070,"Dillingham Census Area, Alaska",4961
02090,"Fairbanks North Star Borough, Alaska",99072
02100,"Haines Borough, Alaska",2518
02105,"Hoonah-Angoon Census Area, Alaska",2139
02110,"Juneau City and Borough, Alaska",32227
02122,"Kenai Peninsula Borough, Alaska",58464
02130,"Ketchikan Gateway Borough, Alaska",13800
02150,"Kodiak Island Borough, Alaska",13451
02158,"Kusilvak Census Area, Alaska",8250
02164,"Lake and Peninsula Borough, Alaska",1393
02170,"Matanuska-Susitna Borough, Alaska",105369
02180,"Nome Census Area, Alaska",9988
02185,"North Slope Borough, Alaska",9792
02188,"Northwest Arctic Borough, Alaska",7715
02195,"Petersburg Borough, Alaska",3257
02198,"Prince of Wales-Hyder Census Area, Alaska",6407
02220,"Sitka City and Borough, Alaska",8640
02230,"Skagway Municipality, Alaska",1107
02240,"Southeast Fairbanks Census Area, Alaska",6878
02261,"Valdez-Cordova Census Area, Alaska",9243
02275,"Wrangell City and Borough, Alaska",2502
02282,"Yakutat City and Borough, Alaska",649
02290,"Yukon-Koyukuk Census Area, Alaska",5377
04001,"Apache County, Arizona",71511
04003,"Cochise County, Arizona",125867
04005,"Coconino County, Arizona",141274
04007,"Gila County, Arizona",53546
04009,"Graham County, Arizona",37996
04011,"Greenlee County, Arizona",9522
04012,"La Paz County, Arizona",20793
04013,"Maricopa County, Arizona",4328810
04015,"Mohave County, Arizona",207695
04017,"Navajo County, Arizona",109270
04019,"Pima County, Arizona",1027207
04021,"Pinal County, Arizona",432793
04023,"Santa Cruz County, Arizona",46480
04025,"Yavapai County, Arizona",228067
04027,"Yuma County, Arizona",209468
05001,"Arkansas County, Arkansas",17914
05003,"Ashley County, Arkansas",20270
05005,"Baxter County, Arkansas",41427
05007,"Benton County, Arkansas",265759
05009,"Boone County, Arkansas",37331
05011,"Bradley County, Arkansas",10874
05013,"Calhoun County, Arkansas",5192
05015,"Carroll County, Arkansas",27965
05017,"Chicot County, Arkansas",10615
05019,"Clark County, Arkansas",22386
05021,"Clay County, Arkansas",14889
05023,"Cleburne County, Arkansas",25100
05025,"Cleveland County, Arkansas",8128
